,Unnamed: 0,street,suburb,government_area,market,country,country_code,_id,longitude,latitude
0,0,"New York, NY, United States",Manhattan,Upper West Side,New York,United States,US,1003530,-73.96523,40.79962
1,1,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western District,Central & Western,Hong Kong,China,HK,10059872,114.15027,22.28158
2,2,"Hong Kong , 九龍, Hong Kong",Sham Shui Po District,Sham Shui Po,Hong Kong,China,HK,10084023,114.1669,22.3314
3,3,"Surry Hills, NSW, Australia",Darlinghurst,Sydney,Sydney,Australia,AU,10091713,151.21554,-33.88029
4,4,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,10112159,-8.60867,41.1543
5,5,"New York, NY, United States",Manhattan,Chelsea,New York,United States,US,10096773,-74.00074,40.74577
6,6,"Queens, NY, United States",Queens,Briarwood,New York,United States,US,10140368,-73.82257,40.71485
7,7,"Brooklyn, NY, United States",Brooklyn,Bushwick,New York,United States,US,10021707,-73.93615,40.69791
8,8,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,10038496,-43.19084919446341,-22.98433936006781
9,9,"Montréal, Québec, Canada",Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Montreal,Canada,CA,10059244,-73.54949,45.54548
10,10,"Rio de Janeiro, Rio de Janeiro, Brazil",Laranjeiras,Laranjeiras,Rio De Janeiro,Brazil,BR,10116578,-43.1825954762751,-22.93054146036793
11,11,"Rio de Janeiro, Rio de Janeiro, Brazil",Jardim Botânico,Jardim Botânico,Rio De Janeiro,Brazil,BR,10009999,-43.23074991429229,-22.96625355173965
12,12,"Montréal, Québec, Canada",Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,10066928,-73.57383,45.52233
13,13,"Şişli, İstanbul, Turkey",Şişli,Sisli,Istanbul,Turkey,TR,10115921,28.98713,41.04841
14,14,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,10083468,-8.61123,41.15225
